progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
2,4348,53.28668164,-6.375095063,8230DB004348,"Tallaght, The Square Shopping Centre"
3,4646,53.28943871,-6.37427044,8230DB004646,"Tallaght, Tallaght Hospital"
4,4647,53.29005747,-6.3715319489999995,8230DB004647,"Tallaght, Old Blessington Road"
13,2114,53.32421455,-6.395601595,8230DB002114,"Clondalkin, Tower Road"
14,2115,53.3256299,-6.39524824,8230DB002115,"Clondalkin, Thornfield Square"
17,2118,53.33562399,-6.400564075,8230DB002118,"Ronanstown, Moorefield Drive"
18,2119,53.33704793,-6.400180428,8230DB002119,"Ronanstown, Saint Peter The Apostle School"
19,2120,53.34116327,-6.399425654,8230DB002120,"Ronanstown, Collinstown Park School"
20,2121,53.34387558,-6.398603156,8230DB002121,"Ronanstown, Rowlagh Community Centre"
21,2123,53.34717603,-6.398073912999999,8230DB002123,"Ronanstown, Neilstown Road (Saint Mark's Avenue)"
22,2685,53.34795509,-6.395851745,8230DB002685,"Ronanstown, Greenfort Estate"
23,4795,53.35241802,-6.395548956,8230DB004795,"Palmerston, Liffey Valley Shopping Centre"
24,2686,53.34765219,-6.388713524,8230DB002686,"Ronanstown, Dublin Bus Sports Club"
25,7510,53.34719069,-6.384495287000001,8230DB007510,Cloverhill Road
26,4799,53.34519374,-6.379073722,8230DB004799,"Palmerstown, Ballyfermot Road"
27,2205,53.34459064,-6.377023962999999,8230DB002205,"Palmerstown, Cherry Orchard Hospital"
28,2687,53.34396112,-6.373037828999999,8230DB002687,"Palmerstown, Cherry Orchard Industrial Estate"
29,2688,53.34346351,-6.368190707999999,8220DB002688,"Ballyfermot, Ballyfermot Road (Blackditch Road)"
30,2689,53.343106000000006,-6.363743832000001,8220DB002689,"Ballyfermot, Blackditch Drive"
31,2696,53.34268762,-6.358803755,8220DB002696,"Ballyfermot, Ballyfermot Road (Le Fanu Road)"
32,2697,53.34227747,-6.35317261,8220DB002697,"Ballyfermot, Ballyfermot Parade"
35,2201,53.35327375,-6.364571165,8230DB002201,"Palmerstown, Lucan Road (The Oval)"
36,4401,53.35475553,-6.371710305,8230DB004401,"Palmerstown, Lucan Road"
37,1813,53.38567975,-6.374108313,8240DB001813,"Blanchardstown, Blanchardstown Village (near junction River Road)"
38,1814,53.38756181,-6.3789978860000005,8240DB001814,"Blanchardstown, Main Street Blanchardstown (Ramor Park)"
