progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,4495,53.34618678,-6.256970115,8220DB004495,"Dublin City South, Hawkin's Street"
2,1279,53.34426049,-6.261704666,8220DB001279,College Green
3,1934,53.34429056,-6.2656234689999994,8220DB001934,"Temple Bar, Dame Street"
4,2310,53.342445700000006,-6.269798428,8220DB002310,"Dublin City South, Werburgh Street"
5,2311,53.33828528,-6.270492467,8220DB002311,"Dublin City South, Kevin Street Garda Station"
6,5025,53.33976302,-6.27758106,8220DB005025,"Warrenmount, The Coombe"
7,4854,53.33814914,-6.279102759,8220DB004854,"Warrenmount, Ardee Street"
8,1438,53.33638298,-6.279414136000001,8220DB001438,"Warrenmount, Saint Thomas Road"
9,4855,53.33460177,-6.279305648999999,8220DB004855,"Warrenmount, O'Donovan Road"
10,1439,53.33405842,-6.282766099,8220DB001439,"Warrenmount, Donore Credit Union"
11,1440,53.33199006,-6.2833146520000005,8220DB001440,"Warrenmount, Donore Avenue"
12,1386,53.32955262,-6.284448499,8220DB001386,"Harolds Cross, Clogher Road (Parnell Road)"
13,1387,53.32804055,-6.286806239,8220DB001387,"Harolds Cross, Clogher Road (Aughavanagh Road)"
14,1388,53.32677327,-6.291195789,8220DB001388,"Kimmage, Goldstone Court"
15,1389,53.32608822,-6.295456775,8220DB001389,"Dolphins Barn, Saint Bernadette's Church"
16,3355,53.32548236,-6.297717802,8220DB003355,"Crumlin, Clogher Road"
17,3356,53.32485163,-6.300760394,8220DB003356,"Crumlin, Kildare Road (Bangor Road)"
18,1441,53.3248749,-6.303026332999999,8220DB001441,"Crumlin, Kildare Road (Bangor Road)"
19,1442,53.32516687,-6.307128155,8220DB001442,"Crumlin, Kildare Road (Clonard Road)"
20,7414,53.32515908,-6.311016682999999,8220DB007414,"Crumlin, Kildare Road (Windmill Road)"
21,1396,53.32490027,-6.314960137000001,8220DB001396,"Crumlin, Pearse Memorial Park"
22,2317,53.32341857,-6.318876559,8220DB002317,"Drimnagh, Crumlin Bowling Club"
23,2318,53.32198001,-6.3188430460000005,8220DB002318,"Crumlin, Somerville Avenue"
24,2319,53.31956475,-6.315200389,8220DB002319,"Crumlin, Garda Station"
25,2320,53.31588722,-6.317011266000001,8220DB002320,"Walkinstown, Whitehall Road West (Kimmage Rd)"
26,2321,53.31340484,-6.3200805739999995,8220DB002321,"Walkinstown, Crumlin Crossroads"
27,2322,53.31023749,-6.32110538,8220DB002322,"Walkinstown, Whitehall Road West"
28,6163,53.30954009,-6.320727561,8220DB006163,"Walkinstown, Greentrees Park"
29,1095,53.30691417,-6.319990288,8230DB001095,"Templeogue, Wellington Road (Templeville Road)"
30,1096,53.30604427,-6.321404967,8230DB001096,"Templeogue, Wellington Lane (Wellington Park)"
31,1097,53.30306175,-6.322152158,8230DB001097,"Templeogue, Wellington Cottages"
32,1099,53.30127238,-6.323377622000001,8230DB001099,"Templeogue, Wellington Lane"
33,6132,53.29563615,-6.323328362000001,8230DB006132,"Templeogue, Wellington Road"
34,4861,53.29663926,-6.3211587279999994,8230DB004861,"Templeogue, Rossmore Road"
