progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,449,53.27630688,-6.217063002000001,8250DB000449,"Sandyford, Blackthorn Road"
2,450,53.27509405,-6.213499669,8250DB000450,"Sandyford, Heather Road"
3,3181,53.27673392,-6.207777903999999,8250DB003181,"Sandyford, Blackthorn Road"
4,451,53.2783061,-6.207727113,8250DB000451,"Sandyford, Blackthorn Drive,  Arkle Road"
5,447,53.28021817,-6.2105564929999995,8250DB000447,"Kilmacud, Upp KilmacudRoadExt"
6,5045,53.28357696,-6.209171297,8250DB005045,"Kilmacud, Saint Raphaela's Estate."
7,4460,53.28728248,-6.208131348999999,8250DB004460,"Kilmacud, Whately Place"
8,453,53.28858628,-6.207566787999999,8250DB000453,"Kilmacud, Upper Kilmacud Road #1"
9,454,53.28911613,-6.209929607,8250DB000454,"Kilmacud, South Avenue"
10,4475,53.28906431,-6.212466772000001,8250DB004475,"Mount Merrion, Dale Drive"
11,3023,53.28878713,-6.217968302,8250DB003023,"Kilmacud, Mount Anville School"
12,3024,53.28897599,-6.222190423,8250DB003024,"Kilmacud, Sweet Briar Lane"
13,3025,53.28900152,-6.2257143489999995,8250DB003025,"Goatstown, Lower Kilmacud Road (Drummartin Close)"
14,3026,53.29085058,-6.227962805,8250DB003026,"Kilmacud, Drummartin Road (Eden Park Drive)"
15,3027,53.29219672,-6.22903216,8250DB003027,"Goatstown, Drummartin Terrace"
16,3028,53.29470702,-6.231628647999999,8250DB003028,"Goatstown, Goatstown Road (Farmhill Road)"
17,3029,53.29630433,-6.233272938,8250DB003029,"Goatstown, Goatstown Road (Goatstown Avenue)"
18,3030,53.29915719,-6.233515255,8250DB003030,"Clonskeagh, Larchfield Road"
19,3031,53.30142217,-6.233511786,8250DB003031,"Clonskeagh, Harlech Downs Estate"
20,875,53.30447299,-6.2355916239999996,8250DB000875,"Clonskeagh, Roebuck Road (White Oak Est)"
21,876,53.30522322,-6.237091259,8250DB000876,"Clonskeagh, Bird Avenue"
22,878,53.30815336,-6.237090577000001,8250DB000878,"Milltown, Clonskeagh Road"
23,879,53.3095042,-6.23787531,8250DB000879,"Clonskeagh, Annsbrook Estate"
24,880,53.31231378,-6.2388401589999996,8250DB000880,"Clonskeagh, Whitethorn Road"
25,881,53.31456357,-6.238417332,8220DB000881,"Milltown (Dublin City), Beech Hill Estate"
26,882,53.31670466,-6.239154676,8220DB000882,"Milltown (Dublin City), Clonskeagh Hospital"
27,883,53.31768516,-6.2410355829999995,8220DB000883,"Clonskeagh, Clonskea Road (Milltown Road)"
28,884,53.31999699,-6.244212844,8220DB000884,"Clonskeagh, Milltown Park"
29,885,53.32125897,-6.246292621,8220DB000885,"Milltown (Dublin City), Sandford Road (Larch Grove)"
30,886,53.32259739999999,-6.248684633,8220DB000886,"Ranelagh, Sandford Road"
31,887,53.32420775,-6.252461807,8220DB000887,"Ranelagh, Ranelagh"
32,903,53.32558343,-6.252495657000001,8220DB000903,"Ranelagh, Chelmsford Road"
33,904,53.32741744,-6.2488475160000005,8220DB000904,"Ranelagh, Appian Way"
34,906,53.32881077,-6.247634377000001,8220DB000906,Leeson Street Upper
35,907,53.32971936,-6.250750109,8220DB000907,"Ranelagh, Saint John's Ambulance Head Quarters"
36,908,53.33115429,-6.252373034,8220DB000908,"Dublin City South, Upper Leeson Street (Mespil Road)"
37,909,53.33314766,-6.254078364,8220DB000909,"Dublin City South, Lower Leeson Street"
38,786,53.33514671,-6.256174036,8220DB000786,"Dublin City South, Lower Leeson Street"
39,793,53.34085979,-6.2584038689999995,8220DB000793,"Dublin City South, Dawson Street"
42,320,53.3455466,-6.259294247000001,8220DB000320,"Dublin City South, Westmoreland Street"
43,278,53.35135317,-6.261160681000001,8220DB000278,"Dublin, Cathal Brugha Street"
44,7615,53.35250814,-6.263937829,8220DB007615,"Rotunda, Rotunda Hospital"
45,10,53.3533921,-6.2653891239999995,8220DB000010,"Rotunda, Parnell Square West"
46,12,53.35680494,-6.264589471,8220DB000012,"Phibsborough, Upper Dorset St (St.Joseph's Parade)"
47,14,53.35853124,-6.262776506,8220DB000014,"Phibsborough, Lower Dorset Street"
48,15,53.36008858,-6.26109047,8220DB000015,"Ballybough, Lower Dorset Street"
49,17,53.36291707,-6.258435917000001,8220DB000017,"Drumcondra, Outside Train Station"
50,18,53.36585593,-6.255956821,8220DB000018,"Drumcondra (Dublin), Drumcondra Road"
51,19,53.36714373,-6.255513501,8220DB000019,"Drumcondra, Lower Drumcondra Road"
52,21,53.3701012,-6.254310599,8220DB000021,"Drumcondra (Dublin), Saint Patrick's College"
54,22,53.37350361,-6.252803752999999,8220DB000022,"Drumcondra (Dublin), Home Farm Road (Achill Road)"
55,23,53.37422828,-6.256261004,8220DB000023,"Drumcondra (Dublin), Ferguson Road"
56,24,53.37513316,-6.260372348,8220DB000024,"Drumcondra (Dublin), Home Farm Road"
57,25,53.37589947,-6.2636177360000005,8220DB000025,"Glasnevin, Rathlin Road"
58,27,53.37943896,-6.266585261,8220DB000027,"Glasnevin, Ballymun Road (Griffith Avenue)"
59,28,53.38157864,-6.2660022710000005,8220DB000028,"Wadelai, Glasnevin Tennis Club"
60,29,53.38348825,-6.265669101,8220DB000029,"Whitehall (Dublin City), Ballymun Road"
61,4680,53.38496648,-6.265338406000001,8220DB004680,"Whitehall (Dublin City), DCU Ballymun Road"
62,31,53.38603323,-6.268858077000001,8220DB000031,"Wadelai, Maolbuille Road"
63,32,53.38619557,-6.271377201,8220DB000032,"Wadelai, Saint Pappin's Road"
64,33,53.38871792,-6.271771141,8220DB000033,"Wadelai, Glasnevin Drive"
