progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,943,53.41829227,-6.142143777,8240DB000943,"Portmarnock, Portmarnock Bridge"
2,3599,53.42164641,-6.136475335,8240DB003599,"Portmarnock, Portmarnock Village"
3,3600,53.42351919,-6.133805247000001,8240DB003600,"Portmarnock, The Dunes Estate"
4,3601,53.42610173,-6.13111883,8240DB003601,"Portmarnock, Carrickhill Lane way"
5,3602,53.42838305,-6.128716204,8240DB003602,"Portmarnock, Strand Road (Blackberry Lane)"
6,3604,53.43242931,-6.124805855,8240DB003604,"Portmarnock, Portmarnock"
7,3607,53.43490103,-6.136286687999999,8240DB003607,"Portmarnock, Martello Estate"
8,6051,53.43475688,-6.137993811,8240DB006051,"Portmarnock, Sports and Leisure Centre"
9,6053,53.43411912,-6.143214369,8240DB006053,"Portmarnock, Malahide Golf Club"
10,7327,53.43400824,-6.150549122,8240DB007327,"Portmarnock, Blackwoods Estate"
11,3629,53.43551469,-6.153223102999999,8240DB003629,"Dartry, The Hill Malahide"
12,3630,53.4384604,-6.151906175,8240DB003630,"Malahide, Scoil Iosa School"
13,3631,53.44196612,-6.151347539,8240DB003631,"Malahide, The Hill Malahide #1"
14,3632,53.44441982,-6.152505591000001,8240DB003632,"Malahide, The Hill Malahide"
15,3633,53.44839489,-6.153236429,8240DB003633,"Malahide, Saint Andrew's Church"
16,3634,53.45045531,-6.1551194879999995,8240DB003634,"Malahide, Saint Sylvester's Church"
17,3635,53.44963995,-6.160530062,8240DB003635,"Malahide, Malahide Cricket Club"
18,3636,53.44942245,-6.162165572999999,8240DB003636,"Malahide, Yellow Walls Road"
19,905,53.45156174,-6.170369781000001,8240DB000905,"Malahide, Inbher Ide"
20,4331,53.45539992,-6.179209838999999,8240DB004331,"Malahide, Estuary Road"
21,4339,53.45268719,-6.183451712,8240DB004339,"Malahide, Estuary Road"
22,6010,53.45287713,-6.198365821,8240DB006010,"Malahide, Waterside Estate"
23,3656,53.44854597,-6.2044060089999995,8240DB003656,"Swords, Feltrim Business Park"
24,7194,53.44722698,-6.2075480679999995,8240DB007194,"Drinan, Holywell Square"
25,6310,53.44356734,-6.211044234,8240DB006310,"Drinan, Link Road"
26,6311,53.44342396,-6.209273847,8240DB006311,Holywell Distributor Road M1 Airside
27,112,53.3961544,-6.26395104,8220DB000112,"Ballymun, Civic Centre"
28,113,53.39226796,-6.263703255,8220DB000113,"Ballymun, Comprehensive School"
29,114,53.39133332,-6.263711229,8220DB000114,"Wadelai, Ballymun Road (Shanliss Road)"
