progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,4953,53.30496107,-6.21703967,8250DB004953,"Belfield, University College Dublin"
2,768,53.30941819,-6.21877483,8250DB000768,Dublin (UCD Stillorgan Rd Flyover)
3,769,53.31190109,-6.221327857,8220DB000769,"Donnybrook, Belfield Court"
4,770,53.31463619,-6.225731811,8220DB000770,N11 Opp. R.T.E.
5,771,53.31588007,-6.227781522000001,8220DB000771,"Donnybrook, Teresian School"
6,772,53.31848526,-6.231321063999999,8220DB000772,"Donnybrook, Donnybrook Bus Garage"
7,773,53.31991635,-6.233273318999999,8220DB000773,"Donnybrook, Donnybrook Road"
8,774,53.32161212,-6.235499996000001,8220DB000774,"Donnybrook, Donnybrook Garda Station"
9,775,53.32348971,-6.239085447000001,8220DB000775,"Donnybrook, Morehampton Road"
10,776,53.32547924,-6.241735821,8220DB000776,"Donnybrook, Morehampton Road"
11,777,53.32697216,-6.243626143999999,8220DB000777,"Donnybrook, Morehampton Road"
12,779,53.32868874,-6.245447362999999,8220DB000779,"Dublin City South, Waterloo Road (Wellington Lane)"
13,780,53.33106335,-6.244343917999999,8220DB000780,"Dublin City South, Waterloo Road (Burlington Road)"
14,781,53.33262627,-6.2436641029999995,8220DB000781,"Dublin City South, Saint Martins House"
15,782,53.33358381,-6.244600768,8220DB000782,"Dublin City South, Upper Baggot Street"
16,783,53.33530854,-6.246977564,8220DB000783,"Dublin City South, Baggot Street Lower"
17,784,53.33645673,-6.248657371,8220DB000784,"Dublin City South, Lower Baggot Street"
18,785,53.3371059,-6.251859372999999,8220DB000785,"Dublin City South, Lower Pembroke Street"
19,786,53.33514671,-6.256174036,8220DB000786,"Dublin City South, Lower Leeson Street"
21,791,53.33911515,-6.2577240970000005,8220DB000791,"Stephen's Green, Stephens Court"
20,791,53.33911515,-6.2577240970000005,8220DB000791,"Stephen's Green, Stephens Court"
24,7585,53.34190036,-6.2533453020000005,8220DB007585,Clare Street
23,7585,53.34190036,-6.2533453020000005,8220DB007585,Clare Street
25,7587,53.34464202,-6.252136809,8220DB007587,Shaw Street
26,345,53.34547582,-6.2562931939999995,8220DB000345,"Trinity College, Garda Station"
27,318,53.34630773,-6.259098017,8220DB000318,Westmoreland Street (O'Connell Bridge)
28,312,53.34547647,-6.266206155,8220DB000312,"Temple Bar, Wellington Quay"
29,1444,53.34511841,-6.273745471,8220DB001444,"Dublin City South, Merchant's Quay"
30,1445,53.34567841,-6.27828884,8220DB001445,"James's Gate, Ushers Quay"
31,4407,53.34655233,-6.285298008,8220DB004407,"James's Gate, Guinness Store"
32,2637,53.34588406,-6.29385605,8220DB002637,Outside Heuston Train Station
33,2721,53.34327186,-6.310511085,8220DB002721,"Islandbridge, Con Colbert Road (South Circular Road)"
34,7012,53.34295414,-6.315374679,8220DB007012,"Islandbridge, Con Colbert Road"
35,2201,53.35327375,-6.364571165,8230DB002201,"Palmerstown, Lucan Road (The Oval)"
36,4401,53.35475553,-6.371710305,8230DB004401,"Palmerstown, Lucan Road"
37,2213,53.35571356,-6.391984898,8230DB002213,"Palmerston, Liffey Valley"
38,2214,53.35609004,-6.3999329760000006,8230DB002214,"Liffey Valley, Clarion Hotel"
39,2215,53.35830925,-6.409284829,8230DB002215,"Ballyowen, Saint Loman's Hospital"
40,2216,53.35886528,-6.415949824,8230DB002216,"Ballyowen, Lucan Road"
41,4599,53.35754968,-6.423840929,8230DB004599,"Ballyowen, Slip Road onto the N4"
42,2217,53.359596200000006,-6.4270406929999995,8230DB002217,"Ballyowen, Old Lucan Road"
43,2218,53.35967652,-6.43246151,8230DB002218,"Ballyowen, Lucan Road (Roselawn Estate)"
44,2219,53.36005568,-6.436699507,8230DB002219,"Lucan, Lucan Road (Lucan Heights)"
45,3365,53.359656900000004,-6.439193112000001,8230DB003365,"Lucan, Saint Mary's Church"
46,3366,53.35817573,-6.44139564,8230DB003366,"Lucan, Lucan Heights"
47,3367,53.35642918,-6.448760619,8230DB003367,Lucan Village (Sarsfield Road)
48,3886,53.35569042,-6.454165634,8230DB003886,"Lucan, Leixlip Road (near Primrose Lane)"
49,3888,53.35515377,-6.462717926,8230DB003888,"Lucan, Flyover Bridge"
