progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
2,3444,53.28118568,-6.474792107000001,8230DB003444,"Rathcoole, Main St (Hillview)"
3,3447,53.28191739,-6.465272993999999,8230DB003447,"Rathcoole, Coolamber Estate"
4,3454,53.28165384,-6.44769112,8230DB003454,"Saggart, Millrace Estate"
5,3455,53.28034904,-6.444814107999999,8230DB003455,"Saggart, Saggart Village"
6,5022,53.29338046,-6.422829286,8230DB005022,"Citywest, Lake Drive"
7,3461,53.30959375,-6.4045087039999995,8230DB003461,"Clondalkin, Hotel"
8,4537,53.31087221,-6.4019848360000005,8230DB004537,"Clondalkin, Roundabout"
9,2176,53.31386118,-6.387660338,8230DB002176,"Clondalkin, Newlands Cross"
10,1982,53.32722995,-6.3420270489999995,8220DB001982,"Bluebell, Naas Road (Kylemore Road)"
11,7435,53.34317893,-6.315380836,8220DB007435,"Islandbridge, Memorial Gardens gate"
12,4413,53.34616439,-6.292718367000001,8220DB004413,Outside Heuston Train Station
13,1480,53.34569345,-6.270628174,8220DB001480,"Smithfield, Ormond House"
14,1358,53.34430471,-6.262889389,8220DB001358,"Temple Bar, Central Bank"
1,4564,53.27802441,-6.479208396000001,8230DB004564,"Rathcoole, Rathlawns (Green Lane)"
