progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,7574,53.18251887,-6.130071685,8350DB007574,Balywaltrim
2,4177,53.18609984,-6.129152691,8350DB004177,"Bray, Springfield Cemetery"
3,4178,53.18808628,-6.127435032,8350DB004178,"Bray, Killarney Road (Glenthorn)"
4,4179,53.19125789,-6.128494084,8350DB004179,"Bray, Kilbride Lane"
5,2993,53.19444955,-6.12739715,8350DB002993,"Bray, Herbert Road"
6,2994,53.19664037,-6.122107789,8350DB002994,"Bray, Killarney Park"
7,4180,53.19493571,-6.1188895,8350DB004180,"Bray, Killarney Road (The Nurseries)"
8,4181,53.19775993,-6.116161337,8350DB004181,"Bray, Killarney Road (near Glenlucan)"
9,4182,53.20026373,-6.1119349960000005,8350DB004182,"Bray, Market House"
10,4151,53.20186865,-6.110547104,8350DB004151,"Bray, Bray Town Hall"
11,2997,53.20312352,-6.109758356,8350DB002997,"Bray, Main Street Bray (Florence Road)"
12,4153,53.20489065,-6.109530865,8350DB004153,Main Street (Quinnsborough Road)
13,4154,53.20663408,-6.112343592,8350DB004154,"Bray (Wicklow), Castle Street"
14,4416,53.20834387,-6.114738805,8350DB004416,"Bray, Roseville Court"
15,4201,53.21112535,-6.117835856,8350DB004201,"Bray, Greenhouse Garden Centre"
16,4202,53.21600035,-6.11974851,8250DB004202,"D??n Laoghaire-Rathdown, Saint Brendan's College"
17,4203,53.2197606,-6.120512294,8250DB004203,"D??n Laoghaire-Rathdown, Crinken Church"
18,5090,53.22170381,-6.121760115,8250DB005090,"D??n Laoghaire-Rathdown, Shaganagh Cemetery"
19,4204,53.22332409,-6.12362126,8250DB004204,"D??n Laoghaire-Rathdown, Shanganagh Castle"
20,4205,53.22453947,-6.124886148,8250DB004205,"Shankill, Crinken Lodge"
21,4206,53.22750292,-6.124711709,8250DB004206,"Shankill, Claremont Estate"
22,3140,53.22974308,-6.12426927,8250DB003140,"Shankill, Dublin Road"
23,3141,53.23455658,-6.1251374389999995,8250DB003141,"Shankill, Saint Anne's Church"
24,3142,53.238065399999996,-6.12763594,8250DB003142,"Shankill, Kentfield Estate"
25,3143,53.24269051,-6.130820383,8250DB003143,"Loughlinstown, Loughlinstown Hospital"
26,3144,53.24569052,-6.135275018,8250DB003144,"Loughlinstown, Bray Road Loughlinstown"
27,3145,53.24792099,-6.13823511,8250DB003145,"Carrickmines, Cherrywood Flyover"
28,3146,53.25084385,-6.14179493,8250DB003146,"Ballybrack, Garrison Mews"
29,3147,53.25526992,-6.145500025,8250DB003147,"Ballybrack, Bray Road (opp Kilbogget Park)"
30,3148,53.25873662,-6.146474241,8250DB003148,"Carrickmines, Shrewsbury House"
31,5127,53.2620156,-6.150409882999999,8250DB005127,"Cabinteely, Maple Manor"
32,5128,53.2655267,-6.157739276,8250DB005128,"Cabinteely, Cornelscourt Shopping Centre"
33,2996,53.27076364,-6.167439907,8250DB002996,"Cornelscourt, Bray Road (Old Bray Road)"
34,3258,53.27254116,-6.171982112,8250DB003258,"Foxrock, Bray Road (Westminster Road)"
35,2060,53.27395494,-6.1750856789999995,8250DB002060,"Cornelscourt, Springfield Park"
36,2061,53.2757586,-6.18018225,8250DB002061,"Foxrock, Knocksinna Estate"
37,2062,53.27902411,-6.186851925,8250DB002062,"Galloping Green, Rocwood Estate"
38,2063,53.28029401,-6.189977519,8250DB002063,"Galloping Green, Galloping Green"
39,2064,53.28272564,-6.193849161,8250DB002064,"Galloping Green, Stillorgan Road"
40,2065,53.28479921,-6.19485659,8250DB002065,"Stillorgan, Stillorgan Road"
41,4727,53.29081171,-6.19778321,8250DB004727,"Stillorgan, Laurence Park"
42,4728,53.29333789,-6.201982289,8250DB004728,"Stillorgan, Oatlands College"
43,461,53.294799499999996,-6.203541111,8250DB000461,Stillorgan Road (Trees Road)
44,2068,53.29809576,-6.204573002999999,8250DB002068,Stillorgan Road (Sycamore Crescent)
45,2069,53.29977469,-6.205642853,8250DB002069,"Mount Merrion, Booterstown Avenue"
46,2070,53.30306607,-6.208145702,8250DB002070,Radisson Hotel Stillorgan Road
47,2084,53.30552676,-6.21159902,8250DB002084,"Belfield, Seafiled Road"
48,768,53.30941819,-6.21877483,8250DB000768,Dublin (UCD Stillorgan Rd Flyover)
50,770,53.31463619,-6.225731811,8220DB000770,N11 Opp. R.T.E.
51,771,53.31588007,-6.227781522000001,8220DB000771,"Donnybrook, Teresian School"
52,772,53.31848526,-6.231321063999999,8220DB000772,"Donnybrook, Donnybrook Bus Garage"
53,773,53.31991635,-6.233273318999999,8220DB000773,"Donnybrook, Donnybrook Road"
54,774,53.32161212,-6.235499996000001,8220DB000774,"Donnybrook, Donnybrook Garda Station"
