progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,284,53.37728262,-6.328389284,8220DB000284,"Ashtown, Rathbourne Avenue"
2,4504,53.37582324,-6.317278989,8220DB004504,"Ashtown, Compass Court South"
3,7028,53.37651585,-6.310953907000001,8220DB007028,"Ashtown, Ratoath Road"
4,5147,53.37259939,-6.306044077,8220DB005147,"Cabra, Marian College"
5,68,53.36907751,-6.304245235,8220DB000068,"Cabra, Ventry Drive"
6,30,53.370331900000004,-6.304601169,8220DB000030,"Cabra, Pope John Paul II Park"
7,69,53.37139256,-6.303341717,8220DB000069,"Cabra, Ventry Park Estate"
8,828,53.37104482,-6.299748677999999,8220DB000828,"Cabra, Near Train Station"
9,829,53.37039689,-6.295912195,8220DB000829,"Cabra, Carnlough Road"
10,830,53.36962437,-6.29217098,8220DB000830,"Cabra East, Carnlough Road (Bannow Road)"
11,831,53.36766197,-6.2913328129999995,8220DB000831,"Cabra East, Carnlough Road"
12,75,53.36654723,-6.291317319,8220DB000075,"Cabra East, Faussagh Avenue"
13,4501,53.36475239,-6.287121652000001,8220DB004501,"Cabra East, Faussagh Road (Quarry Road)"
14,4935,53.36409572,-6.283331347000001,8220DB004935,"Cabra East, Faussagh Road (Dowth Ave)"
15,4502,53.36333956,-6.282625479,8220DB004502,"Cabra East, Dowth Avenue"
16,4936,53.36135206,-6.2831711960000005,8220DB004936,"Cabra East, Cabra Road"
17,79,53.36102125,-6.2807955060000005,8220DB000079,"Cabra East, Cabra Road (Charleville Road)"
18,80,53.36086296,-6.276053962000001,8220DB000080,"Phibsborough, Cabra Road (North Circular Road)"
19,82,53.3607978,-6.27154908,8220DB000082,"Phibsborough, Royal Canal Bank"
20,817,53.35964622,-6.269612437999999,8220DB000817,"Phibsborough, Mater Hospital,  Berkeley Road"
21,818,53.35848112,-6.269223945,8220DB000818,"Phibsborough, O'Connell Avenue"
22,819,53.35630402,-6.265991986,8220DB000819,"Phibsborough, Blessington Court"
23,263,53.35374562,-6.262505453999999,8220DB000263,"Dublin, Garden of Remembrance"
24,4725,53.35211562,-6.2610545339999994,8220DB004725,"Dublin, Upper O'Connell Street"
25,273,53.34724742,-6.258819402,8220DB000273,"Dublin City South, O'Connell Bridge"
26,405,53.34248169,-6.255604373,8220DB000405,"Trinity College, South Frederick's Street"
27,408,53.34097078,-6.25001924,8220DB000408,Merrion Square North
28,409,53.34013673,-6.247695596,8220DB000409,"Merrion Square, Holles Street"
29,410,53.33881345,-6.24389039,8220DB000410,"Pembroke West, Lower Mount Street"
30,411,53.33811712,-6.241771554,8220DB000411,"Dublin City South, Lower Mount Street"
31,412,53.33525551,-6.237279319,8220DB000412,"Dublin City South, Northumberland Road"
32,413,53.33409419,-6.236546393999999,8220DB000413,"Dublin City South, Northumberland Road"
33,414,53.33157381,-6.234473217000001,8220DB000414,"Ballsbridge, Northumberland Road"
