progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,4342,53.28610564,-6.373062114,8230DB004342,"Tallaght, The Square Shopping Centre"
2,4348,53.28668164,-6.375095063,8230DB004348,"Tallaght, The Square Shopping Centre"
3,7122,53.28261623,-6.374889382,8230DB007122,"Tallaght, Football Stadium"
4,7121,53.27840566,-6.37392445,8230DB007121,"Tallaght, Whitestown Way"
5,7183,53.2769787,-6.372763994,8230DB007183,"Oldbawn, Firhouse Road West (Kiltiper Way)"
6,4880,53.276945700000006,-6.366407202,8230DB004880,"Oldbawn, Firhouse Road West"
7,2539,53.2765355,-6.356181079,8230DB002539,"Tallaght, Kiltipper Road"
8,2540,53.2755316,-6.35377543,8230DB002540,"Oldbawn, Old Bawn Road (Bohernabreena)"
9,2542,53.27679303,-6.35009807,8230DB002542,"Firhouse, Glencarrig Court"
10,3004,53.28214637,-6.340773498,8230DB003004,"Firhouse, Ballycullen Avenue"
11,4756,53.28037355,-6.339972373999999,8230DB004756,"Firhouse, Carriglea Estate"
12,3005,53.27855073,-6.342037492,8230DB003005,"Firhouse, Ballycullen Avenue (Carriglea)"
13,4757,53.27832517,-6.336812641,8230DB004757,"Firhouse, Carrigwood Estate"
14,4758,53.27912349,-6.332192795,8230DB004758,"Firhouse, Ballycullen Drive"
15,6343,53.27803187,-6.33126057,8230DB006343,"Firhouse, Ballycullen Road (Glenlyon Park)"
16,4759,53.28244259,-6.330443817000001,8230DB004759,"Firhouse, Glenvara Park"
17,4760,53.28535587,-6.330525211,8230DB004760,"Knocklyon, Sally Park Close"
18,2547,53.28910477,-6.323539151,8230DB002547,"Knocklyon, Knocklyon Avenue"
19,2548,53.28950276,-6.317973605,8230DB002548,"Knocklyon, Firhouse Road (Opposite Knocklyon Avenue)"
20,946,53.293246499999995,-6.310040873999999,8230DB000946,"Knocklyon, Woodbrook Park"
21,1155,53.29677344,-6.307126166000001,8230DB001155,"Templeogue, Templeogue Road"
22,1157,53.29874481,-6.302277183999999,8230DB001157,"Templeogue, Riverside Cottages Estate"
23,1158,53.30070251,-6.299003699,8230DB001158,"Templeogue, Springfield Road"
24,1159,53.30239022,-6.296340842,8220DB001159,"Terenure, Bushy Park"
25,1160,53.30439353,-6.293125002000001,8220DB001160,"Rathfarnham, Terenure College"
26,1161,53.30606314,-6.290462401,8220DB001161,"Terenure, Templeogue Road"
27,1162,53.30773225,-6.2877695970000005,8220DB001162,"Terenure, Rathdown Park"
28,1163,53.30887332,-6.2858630920000005,8220DB001163,"Terenure, Templeogue Road #1"
29,1337,53.31117904,-6.283069341,8220DB001337,"Terenure, Terenure Road North"
30,1338,53.31243039,-6.282583884,8220DB001338,"Terenure, Whitton Road"
31,1339,53.31502386,-6.282299647,8220DB001339,"Rathgar, Mount Tallant Avenue"
32,1340,53.31647014,-6.2809957810000006,8220DB001340,"Terenure, Harold's Cross Road"
33,1341,53.31922759,-6.278993636,8220DB001341,"Harolds Cross, Harold's Cross Road (Rathgar Avenue)"
34,1342,53.32134549999999,-6.279388759,8220DB001342,"Harolds Cross, Harold's Cross Road"
35,1343,53.32266729,-6.279425644,8220DB001343,"Harolds Cross, Shamrock Villas Estate"
36,1344,53.32717106,-6.2776079629999995,8220DB001344,"Harolds Cross, Harold's Cross Road (Greenmount Lane)"
37,1345,53.32879608,-6.276236296,8220DB001345,"Harolds Cross, Le Vere Terrace"
38,1347,53.33118301,-6.275344272999999,8220DB001347,"Leonard's Corner, Upper Clanbrassil Street"
39,2634,53.33289127,-6.275380456000001,8220DB002634,"Warrenmount, Lower Clanbrassil Street"
40,2635,53.33425081,-6.2749201779999995,8220DB002635,"Warrenmount, Clanbrassil Street"
41,2636,53.33658044,-6.273174332000001,8220DB002636,"Leonard's Corner, Long Lane"
42,5097,53.3381733,-6.272689494,8220DB005097,"Warrenmount, New Street South"
43,2383,53.33945807,-6.272652582999999,8220DB002383,"The Coombe, Saint Patrick's Cathedral"
44,2002,53.34377081,-6.26944439,8220DB002002,"Dublin City South, Lord Edward Street"
45,1358,53.34430471,-6.262889389,8220DB001358,"Temple Bar, Central Bank"
46,5192,53.34589562,-6.258574096,8220DB005192,"Dublin City South, Fleet Street"
